date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:52	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-110f51a2ee279504;gz%22	https://thewebmax.org/robots.txt		(from )
08:57:53	126009/126009	---M-Z	200	added ('OK')	text/html	etag:%221ec39-6931718d-884e4d7eac6cdccb;gz%22	https://thewebmax.org/travlla/	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/index.html	(from )
08:57:53	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-6931718f-a72b66ae921ec09f;gz%22	https://thewebmax.org/travlla/images/favicon.ico	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/images/favicon.ico	(from https://thewebmax.org/travlla/)
08:57:53	2035/2035	---M--	200	added ('OK')	image/png	etag:%227f3-6931718f-8e7e4ddd438152a0;;;%22	https://thewebmax.org/travlla/images/favicon.png	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/images/favicon.png	(from https://thewebmax.org/travlla/)
08:57:54	11825/11825	---M-Z	200	added ('OK')	text/css	etag:%222e31-69317196-a3dcc05b1220e31e;gz%22	https://thewebmax.org/travlla/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/bootstrap-select.min.css	(from https://thewebmax.org/travlla/)
08:57:54	232802/232802	---M-Z	200	added ('OK')	text/css	etag:%2238d62-69317197-dcc9e15451c8aaa2;gz%22	https://thewebmax.org/travlla/css/bootstrap.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/bootstrap.min.css	(from https://thewebmax.org/travlla/)
08:57:55	14210/14210	---M-Z	200	added ('OK')	text/css	etag:%223782-69317197-89da1ad9ea4bc1b8;gz%22	https://thewebmax.org/travlla/css/feather.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/feather.css	(from https://thewebmax.org/travlla/)
08:57:55	157256/157256	---M-Z	200	added ('OK')	text/css	etag:%2226648-69317196-cb9e1689e8817388;gz%22	https://thewebmax.org/travlla/css/font-awesome.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/font-awesome.min.css	(from https://thewebmax.org/travlla/)
08:57:55	3357/3357	---M-Z	200	added ('OK')	text/css	etag:%22d1d-69317197-55fe0da2147f1deb;gz%22	https://thewebmax.org/travlla/css/owl.carousel.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/owl.carousel.min.css	(from https://thewebmax.org/travlla/)
08:57:56	5228/5228	---M-Z	200	added ('OK')	text/css	etag:%22146c-69317197-100d458506d645a8;gz%22	https://thewebmax.org/travlla/css/magnific-popup.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/magnific-popup.min.css	(from https://thewebmax.org/travlla/)
08:57:56	18458/18458	---M-Z	200	added ('OK')	text/css	etag:%22481a-69317198-c2e00de8c76e8a14;gz%22	https://thewebmax.org/travlla/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/swiper-bundle.min.css	(from https://thewebmax.org/travlla/)
08:57:57	412135/412135	---M-Z	200	added ('OK')	text/css	etag:%22649e7-69317198-45355ad87ae124a;gz%22	https://thewebmax.org/travlla/css/style.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/style.css	(from https://thewebmax.org/travlla/)
08:57:57	9223/9223	---M-Z	200	added ('OK')	text/css	etag:%222407-69317196-697e45759beb1311;gz%22	https://thewebmax.org/travlla/css/bootstrap-datetimepicker.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/bootstrap-datetimepicker.css	(from https://thewebmax.org/travlla/)
08:57:57	98257/98257	---M-Z	200	added ('OK')	text/css	etag:%2217fd1-69317196-a684c97c10b1250f;gz%22	https://thewebmax.org/travlla/css/bootstrap-icons.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/bootstrap-icons.css	(from https://thewebmax.org/travlla/)
08:57:57	38624/38624	---M-Z	200	added ('OK')	text/css	etag:%2296e0-69317197-b01a2a2e7970b28b;gz%22	https://thewebmax.org/travlla/css/lc_lightbox.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/lc_lightbox.css	(from https://thewebmax.org/travlla/)
08:57:58	11184/11184	---M-Z	200	added ('OK')	text/css	etag:%222bb0-69317196-cd5ef1b5880f4e0c;gz%22	https://thewebmax.org/travlla/css/bootstrap-slider.min.css	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/css/bootstrap-slider.min.css	(from https://thewebmax.org/travlla/)
08:57:58	126009/126009	---M-Z	200	added ('OK')	text/html	etag:%221ec39-6931718d-884e4d7eac6cdccb;gz%22	https://thewebmax.org/travlla/index.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/index-2.html	(from https://thewebmax.org/travlla/)
08:57:58	12348/12348	---M--	200	added ('OK')	image/png	etag:%22303c-69317190-c5f466bd6bd6d405;;;%22	https://thewebmax.org/travlla/images/logo-dark.png	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/images/logo-dark.png	(from https://thewebmax.org/travlla/)
